batch_or_div,subject_code,faculty_initials,room_code,assignment_type,hours_per_week
CCS,TD,CR-8,CR8,theory,1
CCS,TD,Lab-605,605A,theory,1
CCS,TD,Lab-605,605B,theory,1
ESR,SS,Lab-703,703,theory,2
ILOC:LY,MIS,VC,CR-1,theory,3
ILOC:LY,PLCM,TP,AUDI,theory,3
LY,AI,SK,CR-13,theory,2
LY,AI,SK,CR-8,theory,1
LY,BDA,AK,CR-9,theory,3
LY,CCS,TD,CR-8,theory,1
LY,ESR,SS,CR-7,theory,1
LY,NNDL,PH,CR-7,theory,1
LY,WN,AR,CR-13,theory,1
LY,WN,AR,CR-9,theory,1
LY,WN,AR,Lab-701,theory,1
LYA,BDA,AK,CR-6,theory,1
LYA,MCS,PK,CR-13,theory,1
LYA,MCS,PK,CR-8,theory,2
LYA,MWE,KR,CR-16,theory,1
LYA,MWE,KR,CR-8,theory,3
LYA & B,CCS,TD,CR-7,theory,1
LYA1,AI,SK,Lab-602,practical,2
LYA1,MWE,KR,Lab-604 B,practical,2
LYA1,NNDL,PH,Lab-603,practical,2
LYA2,BDA,RA,Lab-602,practical,2
LYA2,CCS,TD,Lab-605 B,practical,2
LYA2,MWE,KR,Lab-604 B,practical,2
LYA3,BDA,AK,Lab-602,practical,2
LYA3,CCS,TD,Lab-605 B,practical,2
LYA3,MWE,KR,Lab-604 B,practical,2
LYA3,NNDL,PH,Lab-603,practical,2
LYB,MCS,PK,CR-6,theory,1
LYB,MCS,PK,CR-7,theory,2
LYB,MCS,PK,CR-9,theory,1
LYB,MWE,KR,CR-1,theory,1
LYB,MWE,KR,CR-7,theory,1
LYB,MWE,KR,CR-8,theory,1
LYB,MWE,KR,CR-9,theory,1
LYB1,AI,SK,Lab-701,practical,2
LYB1,CCS,TD,Lab-605 B,practical,2
LYB1,MWE,PK,Lab-604 A,practical,2
LYB2,ESR,SS,Lab-605 A,practical,2
LYB2,MWE,PK,Lab-604 A,practical,2
LYB2,WN,AR,Lab-605 A,practical,2
LYB3,ESR,SS,Lab-605 A,practical,2
LYB3,MWE,KR,Lab-604 B,practical,2
LYB3,WN,AR,Lab-601 A,practical,2
NNDL,PH,Lab-603,603,theory,2
SYA,AME II,PJ,CR 8,theory,1
SYA,AME-II,PJ,CR 8,theory,1
SYA,AME-II,PJ,CR 9,theory,1
SYA,AME-II,PJ,CR-7,theory,1
SYA,AME-II(TUT),TA1,PJ,theory,1
SYA,AME-II(TUT),TA2,PJ,theory,1
SYA,AME-II(TUT),TA3,PJ,theory,1
SYA,DLD,DD,CR-7,theory,1
SYA,DLD,MJ,CR 7,theory,1
SYA,DLD,MJ,CR 8,theory,1
SYA,DLD,MJ,CR 9,theory,1
SYA,EDLC,PU,CR 7,theory,2
