term,id_batch,id_subject,id_faculty,id_room,type,day,time
Even(2023-24),,1,1,1,lecture,Fri,10:40-11:40
Even(2023-24),,2,2,1,lecture,Fri,11:40-12:40
Even(2023-24),1,3,3,,lecture,Fri,1:10-2:10
Even(2023-24),,4,4,1,lecture,Fri,1:10-2:10
Even(2023-24),,5,5,2,lab,Fri,2:10-3:10
Even(2023-24),2,6,6,1,tutorial,Fri,8:30-9:30
Even(2023-24),3,1,7,,lecture,Fri,8:30-9:30
Even(2023-24),,6,6,1,lecture,Fri,9:30-10:30
Even(2023-24),4,7,8,,lecture,Mon,10:40-11:40
Even(2023-24),,8,9,1,lecture,Mon,10:40-11:40
Even(2023-24),,1,1,1,lecture,Mon,11:40-12:40
Even(2023-24),5,9,10,,lecture,Mon,1:10-2:10
Even(2023-24),6,10,11,,lecture,Mon,1:10-2:10
Even(2023-24),,1,1,1,lecture,Mon,1:10-2:10
Even(2023-24),,10,11,3,lab,Mon,2:10-3:10
Even(2023-24),7,8,9,,lecture,Mon,8:30-9:30
Even(2023-24),2,11,11,,lecture,Mon,8:30-9:30
Even(2023-24),8,2,2,,lecture,Mon,8:30-9:30
Even(2023-24),,8,9,1,lecture,Thu,10:40-11:40
Even(2023-24),4,7,8,,lecture,Thu,11:40-12:40
Even(2023-24),,12,10,1,lecture,Thu,11:40-12:40
Even(2023-24),6,10,11,,lecture,Thu,1:10-2:10
Even(2023-24),,4,4,1,lecture,Thu,1:10-2:10
Even(2023-24),8,6,6,1,tutorial,Thu,2:10-3:10
Even(2023-24),,13,5,,lecture,Thu,3:10-4:10
Even(2023-24),7,1,12,,lecture,Thu,8:30-9:30
Even(2023-24),2,8,9,,lecture,Thu,8:30-9:30
Even(2023-24),8,1,1,,lecture,Thu,8:30-9:30
Even(2023-24),4,7,8,,lecture,Thu,9:30-10:30
Even(2023-24),,2,2,1,lecture,Tue,10:40-11:40
Even(2023-24),,6,6,1,lecture,Tue,11:40-12:40
Even(2023-24),9,9,10,,lecture,Tue,1:10-2:10
Even(2023-24),1,3,3,,lecture,Tue,1:10-2:10
Even(2023-24),,4,4,1,lecture,Tue,1:10-2:10
Even(2023-24),7,6,6,1,tutorial,Tue,2:10-3:10
Even(2023-24),,7,13,,lecture,Tue,3:10-4:10
Even(2023-24),7,11,11,,lecture,Tue,8:30-9:30
Even(2023-24),2,2,2,,lecture,Tue,8:30-9:30
Even(2023-24),8,8,9,,lecture,Tue,8:30-9:30
Even(2023-24),10,1,7,,lecture,Tue,8:30-9:30
Even(2023-24),,6,6,1,lecture,Wed,10:40-11:40
Even(2023-24),,2,2,1,lecture,Wed,11:40-12:40
Even(2023-24),,8,9,1,lecture,Wed,1:10-2:10
Even(2023-24),,5,14,4,lab,Wed,2:10-3:10
Even(2023-24),7,2,2,,lecture,Wed,8:30-9:30
Even(2023-24),2,1,1,,lecture,Wed,8:30-9:30
Even(2023-24),8,11,9,,lecture,Wed,8:30-9:30
Even(2025-26),7,2,2,5,lab,Fri,10:00-11:00
Even(2025-26),2,14,5,6,lab,Fri,10:00-11:00
Even(2025-26),8,15,3,7,lab,Fri,10:00-11:00
Even(2025-26),11,16,15,8,lab,Fri,10:00-11:00
Even(2025-26),,16,15,9,lecture,Fri,12:30-1:30
Even(2025-26),,17,16,10,tutorial,Fri,8:00-9:00
Even(2025-26),,18,9,10,lecture,Fri,9:00-10:00
Even(2025-26),,6,16,11,lecture,Mon,10:00-11:00
