batch,subject,faculty_initial,room,type,time,day,term,faculty_name
,lic,sm,cr-10,lecture,10:40-11:40,Fri,Even(2023-24),Mr. Sandeep S. Mishra
,mc,ra,cr-10,lecture,11:40-12:40,Fri,Even(2023-24),Ms. Rashmi R. Adatkar
tyb,iot,pk,,lecture,1:10-2:10,Fri,Even(2023-24),Dr. Pradnya V. Kamble
,ss,sp,cr-10,lecture,1:10-2:10,Fri,Even(2023-24),Mr. Sunil D. Patil
,sbl-vi,mj,lab604,lab,2:10-3:10,Fri,Even(2023-24),Mr. Martand S. Jha
sya2,ame-ii,pak,cr-10,tutorial,8:30-9:30,Fri,Even(2023-24),Unknown
syb2,lic,ha,,lecture,8:30-9:30,Fri,Even(2023-24),Mr. Harshawardhan P. Ahire
,ame-ii,pak,cr-10,lecture,9:30-10:30,Fri,Even(2023-24),Unknown
lyb,soc,svm,,lecture,10:40-11:40,Mon,Even(2023-24),Mr. Sagar V. Mhatre
,pce,td,cr-10,lecture,10:40-11:40,Mon,Even(2023-24),Ms. Tilottama P. Dhake
,lic,sm,cr-10,lecture,11:40-12:40,Mon,Even(2023-24),Mr. Sandeep S. Mishra
lyb2,av,pu,,lecture,1:10-2:10,Mon,Even(2023-24),Mr. Prashant B. Upadhyay
tya,sap,ph,,lecture,1:10-2:10,Mon,Even(2023-24),Dr. Priya T. Hankare
,lic,sm,cr-10,lecture,1:10-2:10,Mon,Even(2023-24),Mr. Sandeep S. Mishra
,sap,ph,lab-606,lab,2:10-3:10,Mon,Even(2023-24),Dr. Priya T. Hankare
sya1,pce,td,,lecture,8:30-9:30,Mon,Even(2023-24),Ms. Tilottama P. Dhake
sya2,sbl-v,ph,,lecture,8:30-9:30,Mon,Even(2023-24),Dr. Priya T. Hankare
sya3,mc,ra,,lecture,8:30-9:30,Mon,Even(2023-24),Ms. Rashmi R. Adatkar
,pce,td,cr-10,lecture,10:40-11:40,Thu,Even(2023-24),Ms. Tilottama P. Dhake
lyb,soc,svm,,lecture,11:40-12:40,Thu,Even(2023-24),Mr. Sagar V. Mhatre
,pbl,pu,cr-10,lecture,11:40-12:40,Thu,Even(2023-24),Mr. Prashant B. Upadhyay
tya,sap,ph,,lecture,1:10-2:10,Thu,Even(2023-24),Dr. Priya T. Hankare
,ss,sp,cr-10,lecture,1:10-2:10,Thu,Even(2023-24),Mr. Sunil D. Patil
sya3,ame-ii,pak,cr-10,tutorial,2:10-3:10,Thu,Even(2023-24),Unknown
,fm,mj,,lecture,3:10-4:10,Thu,Even(2023-24),Mr. Martand S. Jha
sya1,lic,rk,,lecture,8:30-9:30,Thu,Even(2023-24),Ms. Rupali S. Kadu
sya2,pce,td,,lecture,8:30-9:30,Thu,Even(2023-24),Ms. Tilottama P. Dhake
sya3,lic,sm,,lecture,8:30-9:30,Thu,Even(2023-24),Mr. Sandeep S. Mishra
lyb,soc,svm,,lecture,9:30-10:30,Thu,Even(2023-24),Mr. Sagar V. Mhatre
,mc,ra,cr-10,lecture,10:40-11:40,Tue,Even(2023-24),Ms. Rashmi R. Adatkar
,ame-ii,pak,cr-10,lecture,11:40-12:40,Tue,Even(2023-24),Unknown
lyb1,av,pu,,lecture,1:10-2:10,Tue,Even(2023-24),Mr. Prashant B. Upadhyay
tyb,iot,pk,,lecture,1:10-2:10,Tue,Even(2023-24),Dr. Pradnya V. Kamble
,ss,sp,cr-10,lecture,1:10-2:10,Tue,Even(2023-24),Mr. Sunil D. Patil
sya1,ame-ii,pak,cr-10,tutorial,2:10-3:10,Tue,Even(2023-24),Unknown
lyb,soc,svm,,lecture,3:10-4:10,Tue,Even(2023-24),Mr. Sagar V. Mhatre
sya1,sbl-v,ph,,lecture,8:30-9:30,Tue,Even(2023-24),Dr. Priya T. Hankare
sya2,mc,ra,,lecture,8:30-9:30,Tue,Even(2023-24),Ms. Rashmi R. Adatkar
sya3,pce,td,,lecture,8:30-9:30,Tue,Even(2023-24),Ms. Tilottama P. Dhake
syb3,lic,ha,,lecture,8:30-9:30,Tue,Even(2023-24),Mr. Harshawardhan P. Ahire
,ame-ii,pak,cr-10,lecture,10:40-11:40,Wed,Even(2023-24),Unknown
,mc,ra,cr-10,lecture,11:40-12:40,Wed,Even(2023-24),Ms. Rashmi R. Adatkar
,pce,td,cr-10,lecture,1:10-2:10,Wed,Even(2023-24),Ms. Tilottama P. Dhake
,sbl-vi,pg,lab605,lab,2:10-3:10,Wed,Even(2023-24),Mrs. Priya Gupta
sya1,mc,ra,,lecture,8:30-9:30,Wed,Even(2023-24),Ms. Rashmi R. Adatkar
sya2,lic,sm,,lecture,8:30-9:30,Wed,Even(2023-24),Mr. Sandeep S. Mishra
sya3,sbl-v,td,,lecture,8:30-9:30,Wed,Even(2023-24),Ms. Tilottama P. Dhake
sya1,mc,ra,lab-605a,lab,10:00-11:00,Fri,Even(2025-26),Ms. Rashmi R. Adatkar
sya2,pbl-ii,mj,lab-601b,lab,10:00-11:00,Fri,Even(2025-26),Mr. Martand S. Jha
sya3,sat-viii,pk,lab-701,lab,10:00-11:00,Fri,Even(2025-26),Dr. Pradnya V. Kamble
sya4,m,prh,lab-605b,lab,10:00-11:00,Fri,Even(2025-26),Ms. Pranali P. Hatode
,m,prh,cr-16,lecture,12:30-1:30,Fri,Even(2025-26),Ms. Pranali P. Hatode
,ame-ii_c2,gd,cr-13,tutorial,8:00-9:00,Fri,Even(2025-26),Unknown
,adce,td,cr-13,lecture,9:00-10:00,Fri,Even(2025-26),Ms. Tilottama P. Dhake
,ame-ii,gd,cr-12,lecture,10:00-11:00,Mon,Even(2025-26),Unknown
,ss,sp,cr-12,lecture,11:00-12:00,Mon,Even(2025-26),Mr. Sunil D. Patil
sya1,adce,td,lab-602,lab,12:30-1:30,Mon,Even(2025-26),Ms. Tilottama P. Dhake
sya2,mc,ra,lab-605a,lab,12:30-1:30,Mon,Even(2025-26),Ms. Rashmi R. Adatkar
sya3,m,prh,lab-605b,lab,12:30-1:30,Mon,Even(2025-26),Ms. Pranali P. Hatode
sya4,sat-viii,pk,lab-604b,lab,12:30-1:30,Mon,Even(2025-26),Dr. Pradnya V. Kamble
,adce,td,cr-12,lecture,8:00-9:00,Mon,Even(2025-26),Ms. Tilottama P. Dhake
,mc,ra,cr-12,lecture,9:00-10:00,Mon,Even(2025-26),Ms. Rashmi R. Adatkar
,ame-ii,gd,cr-12,lecture,10:00-11:00,Thu,Even(2025-26),Unknown
,mc,ra,cr-12,lecture,11:00-12:00,Thu,Even(2025-26),Ms. Rashmi R. Adatkar
,m,prh,cr-11,lecture,12:30-1:30,Thu,Even(2025-26),Ms. Pranali P. Hatode
,ame-ii_c1,gd,lab-606,lab,1:30-2:30,Thu,Even(2025-26),Unknown
sya1,pbl-ii,pu,lab-601a,lab,8:00-9:00,Thu,Even(2025-26),Mr. Prashant B. Upadhyay
sya2,m,prh,lab-605b,lab,8:00-9:00,Thu,Even(2025-26),Ms. Pranali P. Hatode
sya3,pbl-ii,mj,lab-601b,lab,8:00-9:00,Thu,Even(2025-26),Mr. Martand S. Jha
sya4,adce,td,lab-602,lab,8:00-9:00,Thu,Even(2025-26),Ms. Tilottama P. Dhake
sya1,sat-viii,pk,lab-604a,lab,10:00-11:00,Tue,Even(2025-26),Dr. Pradnya V. Kamble
sya2,adce,td,lab-602,lab,10:00-11:00,Tue,Even(2025-26),Ms. Tilottama P. Dhake
sya3,mc,ha,lab-605a,lab,10:00-11:00,Tue,Even(2025-26),Mr. Harshawardhan P. Ahire
sya4,pbl-ii,pu,lab-601b,lab,10:00-11:00,Tue,Even(2025-26),Mr. Prashant B. Upadhyay
,ame-ii_c3,gd,lab-606,lab,12:30-1:30,Tue,Even(2025-26),Unknown
,ss,sp,cr-12,lecture,8:00-9:00,Tue,Even(2025-26),Mr. Sunil D. Patil
,ame-ii,gd,cr-12,lecture,9:00-10:00,Tue,Even(2025-26),Unknown
,adce,td,cr-12,lecture,10:00-11:00,Wed,Even(2025-26),Ms. Tilottama P. Dhake
,ss,sp,cr-12,lecture,11:00-12:00,Wed,Even(2025-26),Mr. Sunil D. Patil
,m,prh,,lecture,12:30-1:30,Wed,Even(2025-26),Ms. Pranali P. Hatode
sya1,m,prh,lab-605b,lab,1:30-2:30,Wed,Even(2025-26),Ms. Pranali P. Hatode
sya2,sat-viii,pk,lab-703,lab,1:30-2:30,Wed,Even(2025-26),Dr. Pradnya V. Kamble
sya3,adce,td,lab-602,lab,1:30-2:30,Wed,Even(2025-26),Ms. Tilottama P. Dhake
sya4,mc,ra,lab-605a,lab,1:30-2:30,Wed,Even(2025-26),Ms. Rashmi R. Adatkar
,mc,ra,cr-12,lecture,8:00-9:00,Wed,Even(2025-26),Ms. Rashmi R. Adatkar
